task_id,image,primary_model_issue,model_issue_categories,model_issue_tags,sources,manual_note,trap_semi_paths,prescreen_used,semi_use
499,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d.png,跨门扩张,跨门扩张;角点重复;角点错位/飘移,overextend_adjacent;corner_duplicate;corner_drift,trap/semi文件夹;旧标注JSON,,trap集\semi\跨门扩张\task499\6780edf6cfe64f90dd8c4d168ec51952.png;trap集\semi\跨门扩张\task499\q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d.png,否,可作semi候选
500,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41.png,跨门扩张,跨门扩张;角点重复;角点错位/飘移,overextend_adjacent;corner_duplicate;corner_drift,旧标注JSON,,,否,可作semi候选
501,X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a.png,跨门扩张,跨门扩张;模型标注质量好,overextend_adjacent;acceptable,trap/semi文件夹;旧标注JSON,,trap集\semi\模型标注质量好\task501\X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a.png;trap集\semi\模型标注质量好\task501\ca2ffb1df2adb695289848add538b008.png,是,排除_已用于PreScreen
502,uNb9QFRL6hY_dcb326d4bb9b4a5f8d7e565ec32bce8e.png,角点错位/飘移,角点错位/飘移,corner_drift,旧标注JSON,,,否,可作semi候选
503,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211.png,角点错位/飘移,角点错位/飘移,corner_drift,旧标注JSON,,,否,可作semi候选
504,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5.png,角点错位/飘移,角点错位/飘移,corner_drift,旧标注JSON,,,否,可作semi候选
505,B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8.png,过度解析,角点重复;角点错位/飘移;过度解析,corner_duplicate;corner_mismatch;corner_drift;over_parsing,trap/semi文件夹;旧标注JSON,,trap集\semi\过度解析\task505\B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8.png;trap集\semi\过度解析\task505\ee5872f3c6ad344f39604cac03a2dce0.png,是,排除_已用于PreScreen
506,B6ByNegPMKs_3ed1f9b2f3c341d68c6d42895f56f7f9.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
507,wc2JMjhGNzB_c7e4c175f9b347cf9256fa7e291f26d9.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
508,Z6MFQCViBuw_80cd596c480c4f72a7457433b862d179.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
509,wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e.png,跨门扩张,跨门扩张;角点错位/飘移,overextend_adjacent;corner_drift,旧标注JSON,,,是,排除_已用于PreScreen
510,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993.png,跨门扩张,跨门扩张;角点错位/飘移,overextend_adjacent;corner_drift,旧标注JSON,,,是,排除_已用于PreScreen
511,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f.png,跨门扩张,跨门扩张;角点错位/飘移;角点重复,overextend_adjacent;corner_drift;corner_duplicate,旧标注JSON,,,否,可作semi候选
512,B6ByNegPMKs_8b4e1e0ada214ee68dc9e0350cbad884.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
513,B6ByNegPMKs_2a1bc1a10d7b45ad902e09cd71767fd9.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
514,wc2JMjhGNzB_649ef3674e0f4e7c9eac67f94d237573.png,角点错位/飘移,角点错位/飘移;角点重复,corner_drift;corner_duplicate,旧标注JSON,,,否,可作semi候选
515,uNb9QFRL6hY_e8fcf8c5bd324655a25186117151ccbd.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
516,B6ByNegPMKs_8c414a8052c844b4bcd5dc3fadde7f8c.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
517,uNb9QFRL6hY_2ed0e171a7c34f17a85363923a26ab98.png,角点错位/飘移,角点错位/飘移,corner_drift,旧标注JSON,,,否,可作semi候选
518,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8.png,跨门扩张,跨门扩张;角点错位/飘移;角点重复,overextend_adjacent;corner_drift;corner_duplicate,旧标注JSON,,,否,可作semi候选
519,q9vSo1VnCiC_3e7f67e8969f434b9a4aec0c68668b20.png,模型预标注失败/拓扑失败,跨门扩张;角点错位/飘移;过度解析;模型预标注失败/拓扑失败,overextend_adjacent;corner_drift;over_parsing;fail,旧标注JSON,,,否,可作semi候选
520,B6ByNegPMKs_e5567bd5fa2d4fde8a6b9f15e3274a7e.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
521,e9zR4mvMWw7_4984fc9f1fdf4ff7887430f71b9ae392.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
522,uNb9QFRL6hY_84722e58b32f4646acc12614994f835b.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
523,wc2JMjhGNzB_d5138c0f63414e1fb5147c9436968940.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
524,B6ByNegPMKs_dbc3c79b1ce74d209239b1572bd249bb.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
525,UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc.png,跨门扩张,跨门扩张,overextend_adjacent,旧标注JSON,,,否,可作semi候选
526,UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940.png,模型预标注失败/拓扑失败,跨门扩张;角点错位/飘移;角点重复;模型预标注失败/拓扑失败;过度解析,overextend_adjacent;corner_drift;corner_duplicate;topology_failure;over_parsing;fail,旧标注JSON,,,是,排除_已用于PreScreen
527,Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
528,yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089.png,过度解析,过度解析,over_parsing,旧标注JSON,,,否,可作semi候选
529,UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,是,排除_已用于PreScreen
530,q9vSo1VnCiC_46281f6c32544ffe90e6d88f539c4232.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
531,B6ByNegPMKs_6ef1007d4f8641cfa4102b27787f0210.png,过度解析,过度解析,over_parsing,旧标注JSON,,,否,可作semi候选
532,uNb9QFRL6hY_fd411e4f6035431593833d9d0beb4d32.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
533,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058.png,过度解析,角点错位/飘移;过度解析,corner_drift;over_parsing,旧标注JSON,,,是,排除_已用于PreScreen
534,uNb9QFRL6hY_b73ae36f994747e196380b1cb71cf407.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
535,b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4.png,过度解析,过度解析,over_parsing,旧标注JSON,,,否,可作semi候选
536,UwV83HsGsw3_cfd92c05e31846e89144f7b2bb8e59a8.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
537,q9vSo1VnCiC_a6560bae311a403a9bfe94e4c1c645f4.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
538,uNb9QFRL6hY_930b1d9018914ff6858fac08e204de26.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
539,yqstnuAEVhm_f2eeae1a36f14f6cb7b934efd9becb4d.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
540,uNb9QFRL6hY_33dd9892d10e474ead8f7ad38a8da562.png,过度解析,过度解析,over_parsing,旧标注JSON,,,否,可作semi候选
541,UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b.png,跨门扩张,跨门扩张;过度解析,overextend_adjacent;over_parsing,旧标注JSON,,,否,可作semi候选
542,wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd.png,跨门扩张,跨门扩张;过度解析,overextend_adjacent;over_parsing,旧标注JSON,,,否,可作semi候选
543,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62.png,过度解析,过度解析,over_parsing,旧标注JSON,,,否,可作semi候选
544,uNb9QFRL6hY_bccfe89cf0b24f4c9d2afee19c342117.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
545,wc2JMjhGNzB_872459df29ef4f158108fbfcb3225090.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
546,b8cTxDM8gDG_d6f573aa1add4621af53ba492838ff45.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
547,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56.png,模型预标注失败/拓扑失败,角点重复;模型预标注失败/拓扑失败;过度解析,corner_duplicate;topology_failure;over_parsing;fail,旧标注JSON,,,否,可作semi候选
548,b8cTxDM8gDG_dcbdda428eb846a586886b87d9552d0e.png,过度解析,角点错位/飘移;过度解析,corner_drift;over_parsing,旧标注JSON,,,否,可作semi候选
549,wc2JMjhGNzB_431023d1f9fd40048ceee9214fd8464a.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
550,wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,是,排除_已用于PreScreen
551,uNb9QFRL6hY_dba77340b24340be9c7242cba42f1e28.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
552,e9zR4mvMWw7_2e52341d21b940b5b38a9e26c4cf4200.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
553,B6ByNegPMKs_8b1abc1b47784d758b9ec1e079160475.png,模型标注质量好,模型标注质量好,acceptable,人工记录;旧标注JSON,模型正确标注了；没有过度解析,,否,可作semi正向对照
554,rPc6DW4iMge_cc15fb105d86466faafdd633f89148de.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,是,排除_已用于PreScreen
555,X7HyMhZNoso_987fd31155514f6facb131bd5c14881d.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,是,排除_已用于PreScreen
556,q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,是,排除_已用于PreScreen
557,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
558,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
559,e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab.png,角点错位/飘移,角点错位/飘移;角点重复,corner_drift;corner_duplicate,旧标注JSON,,,是,排除_已用于PreScreen
560,X7HyMhZNoso_215ab480f5084ac992c0d0e6b3e82268.png,角点错位/飘移,角点错位/飘移;角点重复,corner_drift;corner_duplicate,旧标注JSON,,,否,可作semi候选
561,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
562,q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,是,排除_已用于PreScreen
563,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
564,uNb9QFRL6hY_07a43087f1e54e3f828851d8e457a283.png,跨门扩张,角点错位/飘移;跨门扩张,corner_drift;overextend_adjacent,人工记录;旧标注JSON,跨门扩张；但主要保留为遮挡 difficulty,,是,排除_已用于PreScreen
565,wc2JMjhGNzB_eae0ac9f6c5b4764a91c789f14a8c2eb.png,模型标注质量好,模型标注质量好,acceptable,人工记录;旧标注JSON,模型标注质量不错,,否,可作semi正向对照
566,q9vSo1VnCiC_bac003e7f0294457905fb183c34ef2bf.png,角点错位/飘移,角点重复;角点错位/飘移,corner_duplicate;corner_drift,人工记录;旧标注JSON,脚点偏移；人工评价不适合,,否,排除_人工已判不适合
567,yqstnuAEVhm_e9b4d8e951cb4712b3905c8f4c4dabb5.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,是,排除_已用于PreScreen
568,e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45.png,模型标注质量好,模型标注质量好,acceptable,trap/semi文件夹;旧标注JSON,,trap集\semi\模型标注质量好\task568\e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45.png,是,排除_已用于PreScreen
569,uNb9QFRL6hY_bcce4f23c12744c782c0b49b24a0331a.png,跨门扩张,模型标注质量好;过度解析;角点重复;跨门扩张,acceptable;over_parsing;corner_duplicate;overextend_adjacent,人工记录;旧标注JSON,过度解析/一角多点/跨门扩张,,是,排除_已用于PreScreen
570,B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624.png,角点错位/飘移,模型标注质量好;角点错位/飘移,acceptable;corner_mismatch;corner_drift,人工记录;旧标注JSON,脚点偏移严重,,是,排除_已用于PreScreen
571,B6ByNegPMKs_51623bde5d4a4550b2c34efe044a16dc.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
572,wc2JMjhGNzB_77962388887942148ee65c2892600e02.png,模型标注质量好,模型标注质量好,acceptable,trap/semi文件夹;旧标注JSON,,trap集\semi\模型标注质量好\task572\wc2JMjhGNzB_77962388887942148ee65c2892600e02.png,是,排除_已用于PreScreen
573,wc2JMjhGNzB_3504ff17bcae4d6c85bdc61fc3a5bf0c.png,模型标注质量好,模型标注质量好,acceptable,trap/semi文件夹;旧标注JSON,,trap集\semi\模型标注质量好\task573\wc2JMjhGNzB_3504ff17bcae4d6c85bdc61fc3a5bf0c.png,是,排除_已用于PreScreen
574,wc2JMjhGNzB_e7d38d204e374f6b8300c5a559a768e9.png,过度解析,过度解析,over_parsing,trap/semi文件夹;人工记录;旧标注JSON,过度解析,trap集\semi\过度解析\task574\wc2JMjhGNzB_e7d38d204e374f6b8300c5a559a768e9.png,否,可作semi候选
575,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,是,排除_已用于PreScreen
576,wc2JMjhGNzB_3848b1ba65fa49308c3d0a79f63782b3.png,漏标,模型标注质量好;漏标,acceptable;underextend,trap/semi文件夹;人工记录;旧标注JSON,漏标；边界需讨论,trap集\semi\模型标注质量好\task576\wc2JMjhGNzB_3848b1ba65fa49308c3d0a79f63782b3.png,是,排除_已用于PreScreen
577,wc2JMjhGNzB_cae8fb3d40314ecea16654062030571b.png,跨门扩张,模型标注质量好;跨门扩张;角点错位/飘移,acceptable;overextend_adjacent;corner_drift,trap/semi文件夹;人工记录;旧标注JSON,跨门扩张+角点偏移,trap集\semi\跨门扩张\task577\wc2JMjhGNzB_cae8fb3d40314ecea16654062030571b.png,是,排除_已用于PreScreen
578,yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,是,排除_已用于PreScreen
579,7y3sRwLe3Va_9bbf903d50da4ffd9e5d1fb7c9f4d69b.png,漏标,模型标注质量好;漏标,acceptable;underextend,trap/semi文件夹;人工记录;旧标注JSON,漏标,trap集\semi\漏标\task579\7y3sRwLe3Va_9bbf903d50da4ffd9e5d1fb7c9f4d69b.png,否,可作semi候选
580,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6.png,跨门扩张,跨门扩张;角点重复;过度解析,overextend_adjacent;corner_duplicate;over_parsing,trap/semi文件夹;人工记录;旧标注JSON,跨门扩张+脚点重复,trap集\semi\跨门扩张\task580(同时是漏标和角点重复)\wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6.png,否,可作semi候选
581,B6ByNegPMKs_f701cece31304e16a3faa7f225bfdaa8.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
582,7y3sRwLe3Va_99b1210b63c94f9184a9f06032a2ea4a.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
583,wc2JMjhGNzB_e6693f97b36545f7a76e03c3fe32ba8c.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
584,7y3sRwLe3Va_9b72664399a34e4f9dbe470571c73187.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
585,e9zR4mvMWw7_ac03b99e3f3642be80b4d24fde0af03a.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,是,排除_已用于PreScreen
586,wc2JMjhGNzB_1be9e528556447d0897d382ddd408766.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
587,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e.png,模型预标注失败/拓扑失败,跨门扩张;角点错位/飘移;角点重复;模型预标注失败/拓扑失败,overextend_adjacent;corner_drift;corner_duplicate;topology_failure,旧标注JSON,,,否,可作semi候选
588,e9zR4mvMWw7_5a03fdefad7a46f4abaf1b2b924ec153.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
589,rPc6DW4iMge_0226db0c3fd24410bbf3db5e6d4b24fe.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
590,wc2JMjhGNzB_12757e972ea64bbfbeb14f7cf5ccaf8b.png,过度解析,过度解析,over_parsing,旧标注JSON,,,否,可作semi候选
591,B6ByNegPMKs_53249ef8a94c4c40bd6f09c069e54d16.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
592,q9vSo1VnCiC_f1b83e2b5e5244db844ceaa471eb0db0.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
593,x8F5xyUWy9e_2669f5ba693c4e729d7d2c4f3fa0a077.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
594,yqstnuAEVhm_2f8c1f8ea7364f67b1c5fe2be2750257.png,过度解析,角点重复;过度解析,corner_duplicate;over_parsing,旧标注JSON,,,否,可作semi候选
595,q9vSo1VnCiC_c4b0b6a41c2a4db3927f5fa9cafb6345.png,角点错位/飘移,角点错位/飘移;角点重复,corner_drift;corner_duplicate,旧标注JSON,,,否,可作semi候选
596,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d.png,角点重复,角点重复,corner_duplicate,旧标注JSON,,,否,可作semi候选
597,yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347.png,模型标注质量好,模型标注质量好,acceptable,旧标注JSON,,,否,可作semi正向对照
