task_id,base_task_id,bucket_dir,trap_family,current_scope_alias,scope_binary,difficulty_tags,model_issue_tags,has_kp,has_poly,has_txt,txt_role,geometry_truth_source,priority_annotation,priority_flag,has_folder_note,recommended_role,review_note_flag,needs_manual_review,default_eligible,directory_scope_mismatch,directory_scope_subtype_mismatch,notes
474,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,semi,角点错位,normal,in_scope,occlusion,underextend,True,False,True,legacy_mp3d_reference,project20_kp,,default,False,semi_trap_natural,False,False,True,False,False,
475,wc2JMjhGNzB_1d8917d25abb4a77a0da9583dc82c17c,semi,模型预标注失败,normal,in_scope,occlusion;seam,fail,True,False,True,legacy_mp3d_reference,project20_kp,低优先,low_priority,True,audit_only,True,True,False,False,False,priority_annotation=低优先 | note_files=特别注意.md | 特别注意.md: 当前这个目录只保留 `task475(低优先)`，而且它仍然不应被理解成默认的 prescreen core trap family。  当前结论：  - 这类样本很难形成稳定的立方体式精标 - 当前更适合作为 `low-priority / optional / audit case` - 不应默认进入 thesis-facing 的 semi 主 trap 配额 - 如果后续需要展示自然失败样例，可以保留它；如果目标是默认主配额，它
477,uNb9QFRL6hY_aed830f085ee4ad88ef6bed7f66f1359,semi,角点重复,normal,in_scope,occlusion,corner_duplicate,True,True,True,legacy_mp3d_reference,project20_kp,,default,False,semi_trap_natural,False,True,True,False,False,poly_residue_present_in_raw_export
492,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,semi,模型标注质量好,normal,in_scope,occlusion,acceptable,True,True,True,legacy_mp3d_reference,project20_kp,,default,False,semi_control_candidate,False,True,True,False,False,poly_residue_present_in_raw_export
493,e9zR4mvMWw7_f7ab5b3ece274b48be57eb65bb6d4814,semi,跨门扩张,normal,in_scope,occlusion,overextend_adjacent,True,False,True,legacy_mp3d_reference,project20_kp,,default,False,semi_trap_natural,False,False,True,False,False,
499,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,semi,跨门扩张,normal,in_scope,occlusion,corner_duplicate,True,False,True,legacy_mp3d_reference,project20_kp,,default,False,semi_trap_natural,False,False,True,False,False,
501,X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,semi,模型标注质量好,normal,in_scope,trivial,acceptable,True,False,True,legacy_mp3d_reference,project20_kp,,default,False,semi_control_candidate,False,False,True,False,False,
505,B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,过度解析,normal,in_scope,occlusion,over_parsing,True,False,True,legacy_mp3d_reference,project20_kp,,default,False,semi_trap_natural,False,False,True,False,False,
568,e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,semi,模型标注质量好,normal,in_scope,occlusion,acceptable,True,False,True,legacy_mp3d_reference,project20_kp,,default,False,semi_control_candidate,False,False,True,False,False,
572,wc2JMjhGNzB_77962388887942148ee65c2892600e02,semi,模型标注质量好,normal,in_scope,trivial,acceptable,True,False,True,legacy_mp3d_reference,project20_kp,,default,False,semi_control_candidate,False,False,True,False,False,
573,wc2JMjhGNzB_3504ff17bcae4d6c85bdc61fc3a5bf0c,semi,模型标注质量好,normal,in_scope,trivial,acceptable,True,False,True,legacy_mp3d_reference,project20_kp,,default,False,semi_control_candidate,False,False,True,False,False,
574,wc2JMjhGNzB_e7d38d204e374f6b8300c5a559a768e9,semi,过度解析,normal,in_scope,occlusion,over_parsing,True,False,True,legacy_mp3d_reference,project20_kp,,default,False,semi_trap_natural,False,False,True,False,False,
576,wc2JMjhGNzB_3848b1ba65fa49308c3d0a79f63782b3,semi,模型标注质量好,normal,in_scope,trivial,acceptable,True,False,True,legacy_mp3d_reference,project20_kp,,default,False,semi_control_candidate,False,False,True,False,False,
577,wc2JMjhGNzB_cae8fb3d40314ecea16654062030571b,semi,跨门扩张,normal,in_scope,occlusion,overextend_adjacent,True,False,True,legacy_mp3d_reference,project20_kp,,default,False,semi_trap_natural,False,False,True,False,False,
579,7y3sRwLe3Va_9bbf903d50da4ffd9e5d1fb7c9f4d69b,semi,漏标,normal,in_scope,low_texture,underextend,True,False,True,legacy_mp3d_reference,project20_kp,,default,False,audit_only,False,True,False,False,False,
580,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,semi,跨门扩张,normal,in_scope,occlusion;reflection,overextend_adjacent;underextend;corner_duplicate,True,False,True,legacy_mp3d_reference,project20_kp,同时是漏标和角点重复,special_review,False,semi_trap_natural,True,True,True,False,False,priority_annotation=同时是漏标和角点重复
625,b8cTxDM8gDG_51c90ec9afc4495ab3788c6badc303df,semi,角点错位,normal,in_scope,occlusion,corner_drift,True,False,True,legacy_mp3d_reference,project20_kp,,default,False,semi_trap_natural,False,False,True,False,False,
665,uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,semi,漏标,normal,in_scope,occlusion,underextend,True,False,True,legacy_mp3d_reference,project20_kp,较为困难,special_review,False,audit_only,True,True,False,False,False,priority_annotation=较为困难
668,rPc6DW4iMge_acbe920a0c5d4c018b1803ee9b1f331a,semi,跨门扩张,normal,in_scope,occlusion,overextend_adjacent,True,False,True,legacy_mp3d_reference,project20_kp,,default,False,semi_trap_natural,False,False,True,False,False,
683,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,semi,过度解析,normal,in_scope,occlusion,over_parsing,True,False,True,legacy_mp3d_reference,project20_kp,,default,False,semi_trap_natural,False,False,True,False,False,
712,wc2JMjhGNzB_40ea4145b9e946aab5d56de3ce179c8e,semi,漏标,normal,in_scope,occlusion,underextend,True,False,True,legacy_mp3d_reference,project20_kp,"墙角太难了,低优先",low_priority,False,audit_only,True,True,False,False,False,"priority_annotation=墙角太难了,低优先"
