task_id,base_task_id,bucket_dir,family_dir,priority_annotation,priority_flag,recommended_role,review_note_flag,default_eligible,scope,scope_binary,geometry_truth_source,adjudication_status
630,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,非常简单,,default,manual_anchor_candidate,False,True,normal,in_scope,project20_kp,working_consensus_not_final_gold
635,q9vSo1VnCiC_e74e843601574864a14517f990c748a0,manual,遮挡明显,"低优先,有歧义,尽量不考虑",low_priority,manual_non_anchor_candidate,True,False,normal,in_scope,project20_kp,working_consensus_not_final_gold
670,x8F5xyUWy9e_a51a0e2811f342a599ae4cdb9b84ff23,manual,拼接缝及拉伸,,default,manual_anchor_candidate,False,True,normal,in_scope,project20_kp,working_consensus_not_final_gold
676,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,manual,遮挡明显,"低优先,太难标注了,暂时不考虑",low_priority,manual_non_anchor_candidate,True,False,normal,in_scope,project20_kp,working_consensus_not_final_gold
677,rPc6DW4iMge_1f14902595544e389c9c910c444e79e7,manual,遮挡明显,略微有点遮挡,special_review,manual_anchor_candidate,True,True,normal,in_scope,project20_kp,working_consensus_not_final_gold
687,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,manual,拼接缝及拉伸,,default,manual_anchor_candidate,False,True,normal,in_scope,project20_kp,working_consensus_not_final_gold
696,b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,manual,遮罩,"低优先,不确定,难标注",low_priority,manual_non_anchor_candidate,True,False,normal,in_scope,project20_kp,working_consensus_not_final_gold
697,rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,manual,玻璃,,default,manual_anchor_candidate,False,True,normal,in_scope,project20_kp,working_consensus_not_final_gold
707,yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65,manual,遮挡明显,,default,manual_anchor_candidate,False,True,normal,in_scope,project20_kp,working_consensus_not_final_gold
711,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,manual,遮罩,"中低优先,难标注",special_review,manual_non_anchor_candidate,True,True,normal,in_scope,project20_kp,working_consensus_not_final_gold
714,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,manual,玻璃,高难度,special_review,manual_anchor_candidate,True,True,normal,in_scope,project20_kp,working_consensus_not_final_gold
717,uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9,manual,遮挡明显,,default,manual_anchor_candidate,False,True,normal,in_scope,project20_kp,working_consensus_not_final_gold
474,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,semi,角点错位,,default,semi_trap_natural,False,True,normal,in_scope,project20_kp,working_consensus_not_final_gold
475,wc2JMjhGNzB_1d8917d25abb4a77a0da9583dc82c17c,semi,模型预标注失败,低优先,low_priority,audit_only,True,False,normal,in_scope,project20_kp,working_consensus_not_final_gold
477,uNb9QFRL6hY_aed830f085ee4ad88ef6bed7f66f1359,semi,角点重复,,default,semi_trap_natural,False,True,normal,in_scope,project20_kp,working_consensus_not_final_gold
492,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,semi,模型标注质量好,,default,semi_control_candidate,False,True,normal,in_scope,project20_kp,working_consensus_not_final_gold
493,e9zR4mvMWw7_f7ab5b3ece274b48be57eb65bb6d4814,semi,跨门扩张,,default,semi_trap_natural,False,True,normal,in_scope,project20_kp,working_consensus_not_final_gold
499,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,semi,跨门扩张,,default,semi_trap_natural,False,True,normal,in_scope,project20_kp,working_consensus_not_final_gold
501,X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,semi,模型标注质量好,,default,semi_control_candidate,False,True,normal,in_scope,project20_kp,working_consensus_not_final_gold
505,B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,过度解析,,default,semi_trap_natural,False,True,normal,in_scope,project20_kp,working_consensus_not_final_gold
568,e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,semi,模型标注质量好,,default,semi_control_candidate,False,True,normal,in_scope,project20_kp,working_consensus_not_final_gold
572,wc2JMjhGNzB_77962388887942148ee65c2892600e02,semi,模型标注质量好,,default,semi_control_candidate,False,True,normal,in_scope,project20_kp,working_consensus_not_final_gold
573,wc2JMjhGNzB_3504ff17bcae4d6c85bdc61fc3a5bf0c,semi,模型标注质量好,,default,semi_control_candidate,False,True,normal,in_scope,project20_kp,working_consensus_not_final_gold
574,wc2JMjhGNzB_e7d38d204e374f6b8300c5a559a768e9,semi,过度解析,,default,semi_trap_natural,False,True,normal,in_scope,project20_kp,working_consensus_not_final_gold
576,wc2JMjhGNzB_3848b1ba65fa49308c3d0a79f63782b3,semi,模型标注质量好,,default,semi_control_candidate,False,True,normal,in_scope,project20_kp,working_consensus_not_final_gold
577,wc2JMjhGNzB_cae8fb3d40314ecea16654062030571b,semi,跨门扩张,,default,semi_trap_natural,False,True,normal,in_scope,project20_kp,working_consensus_not_final_gold
579,7y3sRwLe3Va_9bbf903d50da4ffd9e5d1fb7c9f4d69b,semi,漏标,,default,audit_only,False,False,normal,in_scope,project20_kp,working_consensus_not_final_gold
625,b8cTxDM8gDG_51c90ec9afc4495ab3788c6badc303df,semi,角点错位,,default,semi_trap_natural,False,True,normal,in_scope,project20_kp,working_consensus_not_final_gold
683,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,semi,过度解析,,default,semi_trap_natural,False,True,normal,in_scope,project20_kp,working_consensus_not_final_gold
712,wc2JMjhGNzB_40ea4145b9e946aab5d56de3ce179c8e,semi,漏标,"墙角太难了,低优先",low_priority,audit_only,True,False,normal,in_scope,project20_kp,working_consensus_not_final_gold
