image_id,condition,scene,main_space,trigger,numerical_evidence,canonical_ids,workers,representative_canonical_ids,numeric_cluster_sizes,location,question,affected_conclusion,user_decision,user_reason
uNb9QFRL6hY_bcce4f23c12744c782c0b49b24a0331a,manual,通行与连接,circulation,medium_partition_weak_separation,cross-compatible=0.9123; min sub80=0.7641,285a5ac1de5efeac;941c0898a57d3f1a;2498d239ddfc8870;9ddd4523d7b7906f;ffabc19f537baebf;5d4b529359890ec3;c1e19602fd26903e;e944c8e11ed36c40;883cd9a83e580954;1afc429f5faf7c65;94914c8bd46805c9;9296d36ebe81d569;08589c3af25a8b0d;317410f693c7379d;80fbe67225c21eb2;d6563b79ad01a3ad;5658951cb26b6a74;069c8d013f9ff384;f6377d1bf3f1d93a;abffbe9ff5e5e049;b5310b5a5c856240;84737c49b7cb43cb;e37769f9a2907705;3f5307c8e24eadb4,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,5d4b529359890ec3;3f5307c8e24eadb4;b5310b5a5c856240;84737c49b7cb43cb,19;3;1;1,整图；具体争议角点请按canonical叠加定位，未由云端目视确认,这些同点数数值簇是否表示不同空间范围，还是连续坐标波动被完整链接算法切分？,中等结构候选的语义和聚类可识别性,,
uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,manual,储藏与家务辅助,storage,medium_partition_weak_separation,cross-compatible=0.6833; min sub80=0.9917,8f088bc3d38ce05a;8e684346a4358fa7;5e47fb68e3f9fb49;ae126ae09cc9ca1f;1707cddacfb80ad2;97049183eb982350;d366bcd1ee684385;86c80ddc2433f7df;0fb974eb2f3144ee;b0116da2af71a4ec;2204ad06a7cf0671;6c11bfc31b800170;8432135564249be4;2d11509a2a34dd12;5f299b513566ad1a;35bcb2e3bb463fbe;1b1242219c2a6b5a;1e6add292cbf2f86;0b683b9145a1499d;be5cbd7a2c3bc0a5;e0aef323a89f86e9;b3865e9a7310a075;3fa5ce5607ee297c;01e195ec3ec5f727,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,d366bcd1ee684385;1e6add292cbf2f86;b3865e9a7310a075,20;3;1,整图；具体争议角点请按canonical叠加定位，未由云端目视确认,这些同点数数值簇是否表示不同空间范围，还是连续坐标波动被完整链接算法切分？,中等结构候选的语义和聚类可识别性,,
wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e,manual,卫浴,bathroom,medium_partition_weak_separation,cross-compatible=0.8030; min sub80=0.9639,b56fb0f8553a75cf;e159a8e6dc000639;44e202efdaaa1086;07295986e75ee411;418f3b1d89b36db3;c17faf5a48e89320;39b76bef6310a8de;e62338b4626f0c8a;0f472f196824d00e;3bb306297047e08a;9f011df25dac7cb9;2465e9f86fa1749d;142dfc3f9b37cb3a;04402852e137134a;6d5bfd0e6ab9e18e;647faae2aa06a545;cd1c84f77a0c7939;6ebc8dfc41b13c26;6748e788317900ca;b2d31089375e1c21;21d64fd644d36dc1;4772c8f425d3b5bc;8b3d88c46980bf67;8b13b6ce6d4038a5,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,cd1c84f77a0c7939;04402852e137134a;6748e788317900ca,12;11;1,整图；具体争议角点请按canonical叠加定位，未由云端目视确认,这些同点数数值簇是否表示不同空间范围，还是连续坐标波动被完整链接算法切分？,中等结构候选的语义和聚类可识别性,,
wc2JMjhGNzB_dda6efcba51c40de8552408953719515,manual,储藏与家务辅助,empty,medium_partition_weak_separation,cross-compatible=0.8095; min sub80=0.7944,c6a0dacbc82fcd8d74f2;ffd4f687673b44d2ffb4;5de6ccb2c6c424e63a1f;e22f9f25476a29b9265f;fb2bc3c1a1ab95404b2a;3df38a56b200e7f043f5;e1db3136aee3813a438a;b52bc566db82d02db16e;83fb8bbcdcb7e70a0597;099f4ec32f8c8013e8b0;be619ba0b00b38072876;3f55c49d23e044184588;78dc36e89fc34111fd75;036f0b79fcb891d33e1d;e4af7c47e67b1c37bb93;ad2a6827eaaf625d72c4;f2617cc49b4c3cd19938;27d6bc8646fb2b446424;48a03efd0568d764b14c;23f6609f87c66a85d17b;9971c6aae0055fa67213;f447db699b5c09a195ce;4f044fa1f2070a2eeaa3,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,78dc36e89fc34111fd75;f447db699b5c09a195ce;4f044fa1f2070a2eeaa3,15;7;1,整图；具体争议角点请按canonical叠加定位，未由云端目视确认,这些同点数数值簇是否表示不同空间范围，还是连续坐标波动被完整链接算法切分？,中等结构候选的语义和聚类可识别性,,
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,通行与连接,circulation,recovered_OOS_geometry,n=24; clusters=15; singleton=12; quarter-new=0.5008,1870bb9b73b8e731;dc2410f47b0ae7f6;62350f1ba1f6f629;ced04aaa4e1efa7e;95c53ad8a5a96289;255bcfbc04e42564;9e238cb62af7d82e;dcf84084e2f4a4bf;85ae90c2f81b66df;c345eac5108fcf77;db928628d69b3f0a;4785d000f2625c42;e5a17929a8d3ddab;03e01729807e10b2;8cd45265d79ac735;f7889df0393772a8;42cd5a13d2ad90e1;8044ecb0849dfec0;31ba2b8e12c0dae4;8ada6a2e55916c35;5dec5e1874a7a054;b66bb9496c68e5be;9f069c3bb68abdf2;60bba1fdafe4c9bd,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,1870bb9b73b8e731;dc2410f47b0ae7f6;c345eac5108fcf77;95c53ad8a5a96289;255bcfbc04e42564;dcf84084e2f4a4bf;db928628d69b3f0a;03e01729807e10b2;8cd45265d79ac735;f7889df0393772a8;42cd5a13d2ad90e1;31ba2b8e12c0dae4;8ada6a2e55916c35;9f069c3bb68abdf2;60bba1fdafe4c9bd,5;4;3;1;1;1;1;1;1;1;1;1;1;1;1,整图；具体争议角点请按canonical叠加定位，未由云端目视确认,在已有Scope协议下，这些best-effort几何分别尝试表达什么？是否出现协议闭合或表示不适用，而非一般标注困难？,OOS几何解释，不能由数值稳定改写in-scope资格,,
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos_geometry,通行与连接,circulation,recovered_OOS_geometry,n=23; clusters=11; singleton=7; quarter-new=0.3225,a800c13498de5044;2cb026abc8f06cca;075417b5f26b1723;bf182260d97e72b4;82fb1dbda549df08;b2e72f1eccfff1ce;a3ab6a5900bc68ec;0425a943a10eec7b;58c295ccb812be32;27dbf5c9cdf792b8;3aa0bf741c4b39c3;bf04983c0e9d6481;c16f76b61a0c2732;1c503eddee825845;4646bfc46dc3b9ce;bba1f0de8ac71831;925ff212fc8d9104;32eaa5e855ae90ee;628f11c0e0520639;ffa6a35684824582;7ed4383a08375303;81feb0e35cc60306;f227fac3913dbc27,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036,075417b5f26b1723;3aa0bf741c4b39c3;b2e72f1eccfff1ce;a3ab6a5900bc68ec;bf04983c0e9d6481;1c503eddee825845;4646bfc46dc3b9ce;32eaa5e855ae90ee;628f11c0e0520639;7ed4383a08375303;81feb0e35cc60306,6;6;2;2;1;1;1;1;1;1;1,整图；具体争议角点请按canonical叠加定位，未由云端目视确认,在已有Scope协议下，这些best-effort几何分别尝试表达什么？是否出现协议闭合或表示不适用，而非一般标注困难？,OOS几何解释，不能由数值稳定改写in-scope资格,,
UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,oos_geometry,厨房与用餐,kitchen,recovered_OOS_geometry,n=24; clusters=15; singleton=8; quarter-new=0.3800,a95a266f291df244;302e82d117f96466;a1cf0e0701983318;e355ede0b8b5901b;b612f84b4f35345d;71640fc7f46c27a2;fe952ee7e370f555;66d1573179cf952a;b450be5b8a67bfb8;07302c287d4b5090;d02768af49547bb8;a75d738ce1b5070a;10226aeae3f84a35;3c0d8e75dd7d264b;4f42032dc8e4d665;4fc74fddb88c2f79;c683a325ea5ee59a;df388ca29d6f7cfd;6b1072abb5dd916d;1a361af7443afe0c;d5317a10c026bfe9;f16402f852e68871;d936055bdc90a99f;b73a313e28bc8976,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,a95a266f291df244;a1cf0e0701983318;10226aeae3f84a35;b612f84b4f35345d;71640fc7f46c27a2;fe952ee7e370f555;d02768af49547bb8;df388ca29d6f7cfd;3c0d8e75dd7d264b;4f42032dc8e4d665;4fc74fddb88c2f79;c683a325ea5ee59a;d5317a10c026bfe9;d936055bdc90a99f;b73a313e28bc8976,3;3;2;2;2;2;2;1;1;1;1;1;1;1;1,整图；具体争议角点请按canonical叠加定位，未由云端目视确认,在已有Scope协议下，这些best-effort几何分别尝试表达什么？是否出现协议闭合或表示不适用，而非一般标注困难？,OOS几何解释，不能由数值稳定改写in-scope资格,,
UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,oos_geometry,复合／待定,kitchen,recovered_OOS_geometry,n=23; clusters=16; singleton=13; quarter-new=0.4308,f21c670566821ce7;073cc94b42351b56;7fb0a95bc36104b2;1e1b8c35465d660f;41e737f6263bbfeb;38910f3666756937;20d050e0b509265b;8e34950e31c52b48;508134982b91e8e9;e65fb66189e53aac;8487d3e12302f924;721a520d404a0fa2;3215104ad30d7a69;ce40f36eeedc9a01;1b879ed2a0ea3317;206017d68554e4ce;fa7addab96927ce3;07747ea3bdc5ada7;db489e7008420f6d;b3c8f9e27d75e1bb;3c003832cc2ac4bd;55864e5d3184dff1;2e83f114eec9c41b,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W029;W030;W031;W032;W033;W034;W035;W036;W037,f21c670566821ce7;073cc94b42351b56;3215104ad30d7a69;1e1b8c35465d660f;41e737f6263bbfeb;20d050e0b509265b;721a520d404a0fa2;ce40f36eeedc9a01;1b879ed2a0ea3317;206017d68554e4ce;fa7addab96927ce3;07747ea3bdc5ada7;b3c8f9e27d75e1bb;3c003832cc2ac4bd;55864e5d3184dff1;2e83f114eec9c41b,5;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1,整图；具体争议角点请按canonical叠加定位，未由云端目视确认,在已有Scope协议下，这些best-effort几何分别尝试表达什么？是否出现协议闭合或表示不适用，而非一般标注困难？,OOS几何解释，不能由数值稳定改写in-scope资格,,
UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407,oos_geometry,起居与休闲,living,recovered_OOS_geometry,n=24; clusters=9; singleton=5; quarter-new=0.1525,825443a016547c50;f675c9fafc654a6c;6e96384968cba7c3;de16a61e2d1bb437;3f318bc60bc47bf0;e86414515027abd0;3f3f55f16eac83df;9275a01dcd852002;2f0ae1d7e22229cf;c7fde7efc3f1dc23;99be57a4c1340446;2dfcccbef445d8fb;707a9a5e46075152;fa807ea5905340d9;5f286f5426b982a7;233568c89e42b8bb;f14cfdfa014f4398;47e21b5afd7c7b77;809d1c3be329e98c;8edf1145794bfd4f;37d740ea8d0d8493;fe83d3b0d2bab0e8;1d83c0fba980b573;3c1e685ec9863c21,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,825443a016547c50;f675c9fafc654a6c;6e96384968cba7c3;f14cfdfa014f4398;e86414515027abd0;c7fde7efc3f1dc23;fe83d3b0d2bab0e8;fa807ea5905340d9;3c1e685ec9863c21,8;4;4;3;1;1;1;1;1,整图；具体争议角点请按canonical叠加定位，未由云端目视确认,在已有Scope协议下，这些best-effort几何分别尝试表达什么？是否出现协议闭合或表示不适用，而非一般标注困难？,OOS几何解释，不能由数值稳定改写in-scope资格,,
b8cTxDM8gDG_f63819c407e64c2897b703080766cb60,oos_geometry,复合／待定,living,recovered_OOS_geometry,n=23; clusters=7; singleton=1; quarter-new=0.0000,ed5e4f015fa0d901;87ae4a7914c286d3;85294dbf7076ca4e;261aed6164dd9545;869aad6dd78196cb;211b575736ba7cb9;763a991b9dfc8696;6681edbb9d5aa59e;6529ecbbe65e0c15;0e38d607092eec6b;8da7070a8e45a7f6;62163345e9e1cb8c;3217ba603e509151;231407e1e3c26cd5;8027f25bb7a20f48;903b5a5e0659aed8;8b23be1612a348e0;a90f0bb541345d69;710745da69e1f9af;180879c05acf67a9;98fd9fa5115fc41a;8de2872c37caa579;1b673a15fccbeffc,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036,ed5e4f015fa0d901;87ae4a7914c286d3;85294dbf7076ca4e;211b575736ba7cb9;763a991b9dfc8696;98fd9fa5115fc41a;8b23be1612a348e0,6;5;4;3;2;2;1,整图；具体争议角点请按canonical叠加定位，未由云端目视确认,在已有Scope协议下，这些best-effort几何分别尝试表达什么？是否出现协议闭合或表示不适用，而非一般标注困难？,OOS几何解释，不能由数值稳定改写in-scope资格,,
q9vSo1VnCiC_69591068e5614642b710a8fb7733bdeb,oos_geometry,复合／待定,dining,recovered_OOS_geometry,n=24; clusters=13; singleton=10; quarter-new=0.3592,815fd216217c1154;d7eb958cdac4d365;342e487f437ad89a;11628957a40ead2f;99b98c71c8ac6cd8;f08c6262c07aaaf7;782abfe913b39a78;4d93146011879ad3;589afb1182c4df73;dcef5de556c4238a;4ae9cc8453c6eec8;4256a770bc409d70;dc7be2ac3c7daaf6;301e8f57605f360a;e41dccd543530b6f;8e954e66e20c6ba3;06f95fe563212fba;9515ea81d3b7d5f0;0ffa405d9cace672;975981eecffd896f;b4a28e4583d9d910;bf730d2c56f61535;16f25622c221fa4c;208a71d158c92f4e,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,815fd216217c1154;d7eb958cdac4d365;4ae9cc8453c6eec8;301e8f57605f360a;f08c6262c07aaaf7;782abfe913b39a78;4256a770bc409d70;9515ea81d3b7d5f0;0ffa405d9cace672;b4a28e4583d9d910;bf730d2c56f61535;16f25622c221fa4c;208a71d158c92f4e,8;4;2;1;1;1;1;1;1;1;1;1;1,整图；具体争议角点请按canonical叠加定位，未由云端目视确认,在已有Scope协议下，这些best-effort几何分别尝试表达什么？是否出现协议闭合或表示不适用，而非一般标注困难？,OOS几何解释，不能由数值稳定改写in-scope资格,,
uNb9QFRL6hY_a38a8c6dced34d8bb18fb67165c099f2,oos_geometry,起居与休闲,special,recovered_OOS_geometry,n=23; clusters=8; singleton=3; quarter-new=0.1517,9d8133aea50c53da;fc956ea5464e4cf4;657bd2d38326367d;87273c75a3b5848a;5fa48d2e923993dc;126f3e3ce4b1ec93;d7ab9ebe988576d6;0b321a16596ae822;8819f603580ef482;52fb14ffbe0d009b;1e4c5581862be896;2f75e3649fc3b4c0;116cb223e7dedec6;dfc2adf2a47dc7de;94d5b679bc8ce596;b96ca0dd7857cd2e;8abf96e80a8cd151;e1bc1262947c9c43;e27f9f848d185dab;75ac866c71693e71;78885c3d5cd19c4f;0d08611aee0cdf4f;3785ebbd5dc8b7ea,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036,9d8133aea50c53da;e1bc1262947c9c43;52fb14ffbe0d009b;5fa48d2e923993dc;126f3e3ce4b1ec93;d7ab9ebe988576d6;94d5b679bc8ce596;0d08611aee0cdf4f,10;4;2;2;2;1;1;1,整图；具体争议角点请按canonical叠加定位，未由云端目视确认,在已有Scope协议下，这些best-effort几何分别尝试表达什么？是否出现协议闭合或表示不适用，而非一般标注困难？,OOS几何解释，不能由数值稳定改写in-scope资格,,
