stage,condition,base_task_id,building_id,canonical_annotation_count,raw_version_count,unique_worker_count,strict_geometry_count,raw_geometry_computable_count,raw_geometry_noncomputable_count,strict_geometry_unique_worker_count,non_strict_or_non_geometry_count,current_available20_canonical_count,current_available20_strict_count,shared_initialization_status,supports_k15,supports_k20
C1,manual,uNb9QFRL6hY_c6410f47ad754d6cbd890ba7dff8b449,uNb9QFRL6hY,5,5,5,5,5,0,5,0,5,5,no_model_preannotation_recorded,False,False
C1,manual,uNb9QFRL6hY_ca08ebfb2da647f68db41630637e400b,uNb9QFRL6hY,5,7,5,5,5,0,5,0,5,5,no_model_preannotation_recorded,False,False
C1,manual,uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,uNb9QFRL6hY,5,5,5,5,5,0,5,0,5,5,no_model_preannotation_recorded,False,False
C1,manual,uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,uNb9QFRL6hY,5,5,5,5,5,0,5,0,5,5,no_model_preannotation_recorded,False,False
C1,manual,uNb9QFRL6hY_f4eb9862530a4f909b46f51d1887d05f,uNb9QFRL6hY,5,5,5,5,5,0,5,0,5,5,no_model_preannotation_recorded,False,False
C1,manual,uNb9QFRL6hY_f7944295a76541b186e6a557ebdbba14,uNb9QFRL6hY,5,5,5,5,5,0,5,0,4,4,no_model_preannotation_recorded,False,False
C1,manual,uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,uNb9QFRL6hY,5,5,5,4,4,1,4,1,5,4,no_model_preannotation_recorded,False,False
C1,manual,wc2JMjhGNzB_03c1aca95e254bf4b0db303a28d79aee,wc2JMjhGNzB,5,5,5,5,5,0,5,0,5,5,no_model_preannotation_recorded,False,False
C1,manual,wc2JMjhGNzB_1d8917d25abb4a77a0da9583dc82c17c,wc2JMjhGNzB,5,5,5,5,5,0,5,0,4,4,no_model_preannotation_recorded,False,False
C1,manual,wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,wc2JMjhGNzB,6,6,6,6,6,0,6,0,5,5,no_model_preannotation_recorded,False,False
C1,manual,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,wc2JMjhGNzB,6,6,6,6,6,0,6,0,6,6,no_model_preannotation_recorded,False,False
C1,manual,wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,wc2JMjhGNzB,7,7,7,7,7,0,7,0,6,6,no_model_preannotation_recorded,False,False
C1,manual,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,wc2JMjhGNzB,23,23,23,23,23,0,23,0,20,20,no_model_preannotation_recorded,True,True
C1,manual,wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,wc2JMjhGNzB,5,5,5,4,4,1,4,1,5,4,no_model_preannotation_recorded,False,False
C1,manual,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,wc2JMjhGNzB,23,23,23,23,23,0,23,0,20,20,no_model_preannotation_recorded,True,True
C1,manual,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,wc2JMjhGNzB,5,5,5,5,5,0,5,0,5,5,no_model_preannotation_recorded,False,False
C1,manual,x8F5xyUWy9e_1be9a97aada84e4795f64583ac0e3b76,x8F5xyUWy9e,5,5,5,5,5,0,5,0,4,4,no_model_preannotation_recorded,False,False
C1,manual,x8F5xyUWy9e_3a127fd2c5f34d978cba253145dae7d6,x8F5xyUWy9e,5,5,5,5,5,0,5,0,5,5,no_model_preannotation_recorded,False,False
C1,manual,x8F5xyUWy9e_9926b38bd87e44e292d9c375050dd17d,x8F5xyUWy9e,5,5,5,5,5,0,5,0,5,5,no_model_preannotation_recorded,False,False
C1,manual,yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,yqstnuAEVhm,5,5,5,5,5,0,5,0,5,5,no_model_preannotation_recorded,False,False
C1,manual,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,yqstnuAEVhm,23,23,23,23,23,0,23,0,20,20,no_model_preannotation_recorded,True,True
C1,manual,yqstnuAEVhm_2f8c1f8ea7364f67b1c5fe2be2750257,yqstnuAEVhm,6,6,6,6,6,0,6,0,4,4,no_model_preannotation_recorded,False,False
C1,manual,yqstnuAEVhm_30f3ce4575234a7ba5ff97797f059ae1,yqstnuAEVhm,6,6,6,6,6,0,6,0,4,4,no_model_preannotation_recorded,False,False
C1,manual,yqstnuAEVhm_4642492bb42d40debb1a3bad0ea7a24f,yqstnuAEVhm,5,5,5,5,5,0,5,0,5,5,no_model_preannotation_recorded,False,False
C1,manual,yqstnuAEVhm_48447297e8444171a5db34ccf38bc229,yqstnuAEVhm,6,6,6,6,6,0,6,0,4,4,no_model_preannotation_recorded,False,False
C1,manual,yqstnuAEVhm_9cb726b170554b9bacd039d4db246040,yqstnuAEVhm,5,5,5,5,5,0,5,0,4,4,no_model_preannotation_recorded,False,False
C1,manual,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,yqstnuAEVhm,23,23,23,23,23,0,23,0,20,20,no_model_preannotation_recorded,True,True
C1,manual,yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,yqstnuAEVhm,5,5,5,5,5,0,5,0,5,5,no_model_preannotation_recorded,False,False
C1,manual,yqstnuAEVhm_c93bf298b1cb41a1b368a6ce8bcff53d,yqstnuAEVhm,5,5,5,5,5,0,5,0,5,5,no_model_preannotation_recorded,False,False
C1,semi,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,4,4,4,4,4,0,4,0,4,4,shared_model_preannotation_possible,False,False
C1,semi,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,4,4,4,4,4,0,4,0,4,4,shared_model_preannotation_possible,False,False
C1,semi,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,4,4,4,4,4,0,4,0,4,4,shared_model_preannotation_possible,False,False
C1,semi,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,4,4,4,4,4,0,4,0,4,4,shared_model_preannotation_possible,False,False
C1,semi,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,4,4,4,4,4,0,4,0,3,3,shared_model_preannotation_possible,False,False
C1,semi,UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,UwV83HsGsw3,4,4,4,4,4,0,4,0,4,4,shared_model_preannotation_possible,False,False
C1,semi,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3,4,4,4,4,4,0,4,0,3,3,shared_model_preannotation_possible,False,False
C1,semi,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso,4,4,4,4,4,0,4,0,4,4,shared_model_preannotation_possible,False,False
C1,semi,Z6MFQCViBuw_2008e72476f84104858e908beeac0193,Z6MFQCViBuw,4,4,4,4,4,0,4,0,3,3,shared_model_preannotation_possible,False,False
C1,semi,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,Z6MFQCViBuw,5,5,5,5,5,0,5,0,5,5,shared_model_preannotation_possible,False,False
C1,semi,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,q9vSo1VnCiC,4,4,4,4,4,0,4,0,3,3,shared_model_preannotation_possible,False,False
C1,semi,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,q9vSo1VnCiC,4,4,4,4,4,0,4,0,4,4,shared_model_preannotation_possible,False,False
C1,semi,q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,q9vSo1VnCiC,5,5,5,3,5,0,3,2,3,2,shared_model_preannotation_possible,False,False
C1,semi,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,uNb9QFRL6hY,4,4,4,4,4,0,4,0,4,4,shared_model_preannotation_possible,False,False
C1,semi,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,uNb9QFRL6hY,4,4,4,4,4,0,4,0,4,4,shared_model_preannotation_possible,False,False
C1,semi,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,uNb9QFRL6hY,5,5,5,5,5,0,5,0,5,5,shared_model_preannotation_possible,False,False
C1,semi,uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,uNb9QFRL6hY,4,4,4,4,4,0,4,0,4,4,shared_model_preannotation_possible,False,False
C1,semi,uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,uNb9QFRL6hY,5,5,5,5,5,0,5,0,3,3,shared_model_preannotation_possible,False,False
C1,semi,uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,uNb9QFRL6hY,4,4,4,3,3,1,3,1,3,2,shared_model_preannotation_possible,False,False
C1,semi,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,wc2JMjhGNzB,4,6,4,4,4,0,4,0,4,4,shared_model_preannotation_possible,False,False
C1,semi,wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,wc2JMjhGNzB,5,5,5,5,5,0,5,0,4,4,shared_model_preannotation_possible,False,False
C1,semi,wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,wc2JMjhGNzB,4,4,4,4,4,0,4,0,3,3,shared_model_preannotation_possible,False,False
C1,semi,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,wc2JMjhGNzB,4,4,4,4,4,0,4,0,4,4,shared_model_preannotation_possible,False,False
C1,semi,yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,yqstnuAEVhm,5,5,5,5,5,0,5,0,3,3,shared_model_preannotation_possible,False,False
C1,semi,yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,yqstnuAEVhm,4,4,4,4,4,0,4,0,4,4,shared_model_preannotation_possible,False,False
C2-A-RP,manual,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,3,3,3,3,3,0,3,0,3,3,no_model_preannotation_recorded,False,False
C2-A-RP,manual,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,3,3,3,3,3,0,3,0,3,3,no_model_preannotation_recorded,False,False
C2-A-RP,manual,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,1,1,1,1,1,0,1,0,1,1,no_model_preannotation_recorded,False,False
C2-A-RP,manual,S9hNv5qa7GM_2ea5348654d24115bba3dcdb21fa655e,S9hNv5qa7GM,1,1,1,1,1,0,1,0,1,1,no_model_preannotation_recorded,False,False
C2-A-RP,manual,S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,S9hNv5qa7GM,4,4,4,3,4,0,3,1,4,3,no_model_preannotation_recorded,False,False
C2-A-RP,manual,S9hNv5qa7GM_eba5ca774e2a41dfa6e22fbff7fe66d2,S9hNv5qa7GM,1,1,1,1,1,0,1,0,1,1,no_model_preannotation_recorded,False,False
C2-A-RP,manual,S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,S9hNv5qa7GM,1,1,1,1,1,0,1,0,1,1,no_model_preannotation_recorded,False,False
C2-A-RP,manual,VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,VFuaQ6m2Qom,4,4,4,4,4,0,4,0,4,4,no_model_preannotation_recorded,False,False
C2-A-RP,manual,VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,VFuaQ6m2Qom,2,2,2,2,2,0,2,0,2,2,no_model_preannotation_recorded,False,False
C2-A-RP,manual,jh4fc5c5qoQ_30cdb6fe9aa6449788e271f2e24d76ec,jh4fc5c5qoQ,4,4,4,4,4,0,4,0,4,4,no_model_preannotation_recorded,False,False
C2-A-RP,manual,jh4fc5c5qoQ_a59a3a61089343a8ba2834e7d3cd1066,jh4fc5c5qoQ,1,1,1,1,1,0,1,0,1,1,no_model_preannotation_recorded,False,False
C2-A-RP,manual,jh4fc5c5qoQ_abbdc7ac89204f23a935fcb9ccae887c,jh4fc5c5qoQ,1,1,1,1,1,0,1,0,1,1,no_model_preannotation_recorded,False,False
C2-A-RP,manual,jtcxE69GiFV_0aa01000f1934e73b35c348fa8d15040,jtcxE69GiFV,1,1,1,1,1,0,1,0,1,1,no_model_preannotation_recorded,False,False
C2-A-RP,manual,jtcxE69GiFV_1df105f34ccf4844877be7e8e2d90fad,jtcxE69GiFV,1,1,1,1,1,0,1,0,1,1,no_model_preannotation_recorded,False,False
C2-A-RP,manual,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,jtcxE69GiFV,4,4,4,4,4,0,4,0,4,4,no_model_preannotation_recorded,False,False
C2-A-RP,manual,jtcxE69GiFV_3fb4bb890d7f4964b496a46db647e72a,jtcxE69GiFV,1,1,1,1,1,0,1,0,1,1,no_model_preannotation_recorded,False,False
C2-A-RP,manual,jtcxE69GiFV_44661972414d44fabc0799f237e4d7f0,jtcxE69GiFV,1,1,1,1,1,0,1,0,1,1,no_model_preannotation_recorded,False,False
C2-A-RP,manual,jtcxE69GiFV_539fb3f6f19b442285b593628a8ce14e,jtcxE69GiFV,1,1,1,1,1,0,1,0,1,1,no_model_preannotation_recorded,False,False
C2-A-RP,manual,jtcxE69GiFV_5d3af9ad575b4be88587967ff8114c36,jtcxE69GiFV,1,1,1,1,1,0,1,0,1,1,no_model_preannotation_recorded,False,False
C2-A-RP,manual,jtcxE69GiFV_67790605390f4d439c3c59395967ec84,jtcxE69GiFV,4,4,4,4,4,0,4,0,4,4,no_model_preannotation_recorded,False,False
C2-A-RP,manual,jtcxE69GiFV_c90412ad99334d3aa7a1ec74d8e543a1,jtcxE69GiFV,2,2,2,2,2,0,2,0,2,2,no_model_preannotation_recorded,False,False
C2-A-RP,manual,jtcxE69GiFV_dce110162b244b2ab76a0804fc830a9e,jtcxE69GiFV,2,2,2,2,2,0,2,0,2,2,no_model_preannotation_recorded,False,False
C2-A-RP,manual,jtcxE69GiFV_f473cf5a09a64090acec3bfe8fccaacd,jtcxE69GiFV,1,1,1,1,1,0,1,0,1,1,no_model_preannotation_recorded,False,False
C2-A-RP,manual,jtcxE69GiFV_f4dc4040df5a4f038dd2b35f2bb65266,jtcxE69GiFV,1,1,1,1,1,0,1,0,1,1,no_model_preannotation_recorded,False,False
C2-A-RP,manual,pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78,pRbA3pwrgk9,4,4,4,4,4,0,4,0,4,4,no_model_preannotation_recorded,False,False
C2-A-RP,manual,pRbA3pwrgk9_0dad4bd3fa7e4349a5325596c10d6fdf,pRbA3pwrgk9,1,1,1,1,1,0,1,0,1,1,no_model_preannotation_recorded,False,False
C2-A-RP,manual,pRbA3pwrgk9_16beb21e65a84850a509972190038d0e,pRbA3pwrgk9,2,2,2,1,1,1,1,1,2,1,no_model_preannotation_recorded,False,False
C2-A-RP,manual,pRbA3pwrgk9_285b697fed754f86a09602c93628cfb4,pRbA3pwrgk9,1,1,1,1,1,0,1,0,1,1,no_model_preannotation_recorded,False,False
C2-A-RP,manual,pRbA3pwrgk9_2a3810bc7ecc491e81ff1e8a17692ec1,pRbA3pwrgk9,4,4,4,4,4,0,4,0,4,4,no_model_preannotation_recorded,False,False
C2-A-RP,manual,pa4otMbVnkk_48321c1bb20244f1b43b2c41b4dc9657,pa4otMbVnkk,1,1,1,1,1,0,1,0,1,1,no_model_preannotation_recorded,False,False
C2-A-RP,manual,pa4otMbVnkk_4fbdfc08c934474ea9a04977f9081d0e,pa4otMbVnkk,1,1,1,1,1,0,1,0,1,1,no_model_preannotation_recorded,False,False
C2-A-RP,manual,pa4otMbVnkk_5d1adb544bb14217ba5ded2eb82cd8e3,pa4otMbVnkk,4,4,4,4,4,0,4,0,4,4,no_model_preannotation_recorded,False,False
C2-A-RP,manual,pa4otMbVnkk_63bde48e974d42e59a664bc3b5d9566a,pa4otMbVnkk,1,1,1,1,1,0,1,0,1,1,no_model_preannotation_recorded,False,False
C2-A-RP,manual,pa4otMbVnkk_64ba4f267872432abdcb00af002649d5,pa4otMbVnkk,1,1,1,1,1,0,1,0,1,1,no_model_preannotation_recorded,False,False
C2-A-RP,manual,pa4otMbVnkk_eac7bdc24b24474ba38b8b0b5acd62f6,pa4otMbVnkk,1,1,1,1,1,0,1,0,1,1,no_model_preannotation_recorded,False,False
C2-A-RP,manual,pa4otMbVnkk_f6005da79d2c43ba820db8124a4287d1,pa4otMbVnkk,1,1,1,1,1,0,1,0,1,1,no_model_preannotation_recorded,False,False
C2-A-RP,manual,pa4otMbVnkk_fc4ee7e59f32491d9817b3a9a5b5e9b1,pa4otMbVnkk,1,1,1,1,1,0,1,0,1,1,no_model_preannotation_recorded,False,False
C2-A-RP,manual,zsNo4HB9uLZ_2caadd7bc71c43d5ad10f4e7f10a3455,zsNo4HB9uLZ,1,1,1,1,1,0,1,0,1,1,no_model_preannotation_recorded,False,False
C2-A-RP,manual,zsNo4HB9uLZ_4c0aab63a4434cf4878e6f5b3ce9a70b,zsNo4HB9uLZ,2,2,2,2,2,0,2,0,2,2,no_model_preannotation_recorded,False,False
C2-A-RP,manual,zsNo4HB9uLZ_65eefaf93e6249908e6389eb4eabf0f5,zsNo4HB9uLZ,2,2,2,2,2,0,2,0,2,2,no_model_preannotation_recorded,False,False
