schema_version,task_id,base_task_id,c2_component,task_stratum,planned_worker_support,submitted_worker_support,canonical_valid_support,Q_GT_eligible_support,risk_slope_eligible_support,missing_worker_ids,support_deficit,peer_support_status,risk_model_support_status
c2b_observed_support_audit_v1,VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,common_anchor,stress,22,20,20,19,19,18;27,2,observed,observed
c2b_observed_support_audit_v1,VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,diverse_bridge,stress,3,3,3,3,3,,0,observed,observed
c2b_observed_support_audit_v1,VLzqgDo317F_5d3591edd7c546acaf99db40281b3409,VLzqgDo317F_5d3591edd7c546acaf99db40281b3409,diverse_bridge,ordinary,2,2,2,2,2,,0,observed,observed
c2b_observed_support_audit_v1,jh4fc5c5qoQ_4547d37b305e41bdad0de45ade6971ca,jh4fc5c5qoQ_4547d37b305e41bdad0de45ade6971ca,diverse_bridge,ordinary,2,2,2,2,2,,0,observed,observed
c2b_observed_support_audit_v1,jh4fc5c5qoQ_77e6cfabf32d46fc9398ce824843adaa,jh4fc5c5qoQ_77e6cfabf32d46fc9398ce824843adaa,diverse_bridge,ordinary,2,2,2,2,2,,0,observed,observed
c2b_observed_support_audit_v1,jh4fc5c5qoQ_855bc326ad174253b57626daf123c608,jh4fc5c5qoQ_855bc326ad174253b57626daf123c608,diverse_bridge,ordinary,2,2,2,2,2,,0,observed,observed
c2b_observed_support_audit_v1,jh4fc5c5qoQ_a59a3a61089343a8ba2834e7d3cd1066,jh4fc5c5qoQ_a59a3a61089343a8ba2834e7d3cd1066,diverse_bridge,ordinary,2,1,1,1,1,18,1,support_limited,observed
c2b_observed_support_audit_v1,jh4fc5c5qoQ_b000c5baa76b454caa1c58c9aac585f6,jh4fc5c5qoQ_b000c5baa76b454caa1c58c9aac585f6,diverse_bridge,ordinary,2,2,2,2,2,,0,observed,observed
c2b_observed_support_audit_v1,jtcxE69GiFV_0aa01000f1934e73b35c348fa8d15040,jtcxE69GiFV_0aa01000f1934e73b35c348fa8d15040,diverse_bridge,ordinary,2,2,2,2,2,,0,observed,observed
c2b_observed_support_audit_v1,jtcxE69GiFV_1df105f34ccf4844877be7e8e2d90fad,jtcxE69GiFV_1df105f34ccf4844877be7e8e2d90fad,diverse_bridge,ordinary,2,2,2,2,2,,0,observed,observed
c2b_observed_support_audit_v1,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,diverse_bridge,stress,3,2,2,2,2,27,1,observed,observed
c2b_observed_support_audit_v1,jtcxE69GiFV_4d7ce55eeb6643079aba3b10360de8d8,jtcxE69GiFV_4d7ce55eeb6643079aba3b10360de8d8,diverse_bridge,ordinary,2,2,2,2,2,,0,observed,observed
c2b_observed_support_audit_v1,jtcxE69GiFV_5d3af9ad575b4be88587967ff8114c36,jtcxE69GiFV_5d3af9ad575b4be88587967ff8114c36,diverse_bridge,ordinary,2,1,1,1,1,27,1,support_limited,observed
c2b_observed_support_audit_v1,jtcxE69GiFV_6723e18211d244f8b17ced91aae64d99,jtcxE69GiFV_6723e18211d244f8b17ced91aae64d99,diverse_bridge,ordinary,2,1,1,1,1,18,1,support_limited,observed
c2b_observed_support_audit_v1,jtcxE69GiFV_9f0e2562fcf447f5a7c5e44e85978148,jtcxE69GiFV_9f0e2562fcf447f5a7c5e44e85978148,diverse_bridge,ordinary,2,2,2,2,2,,0,observed,observed
c2b_observed_support_audit_v1,jtcxE69GiFV_a197694b62d249968f88ae32a1b49d10,jtcxE69GiFV_a197694b62d249968f88ae32a1b49d10,diverse_bridge,ordinary,2,1,1,1,1,27,1,support_limited,observed
c2b_observed_support_audit_v1,jtcxE69GiFV_c90412ad99334d3aa7a1ec74d8e543a1,jtcxE69GiFV_c90412ad99334d3aa7a1ec74d8e543a1,diverse_bridge,ordinary,2,2,2,2,2,,0,observed,observed
c2b_observed_support_audit_v1,jtcxE69GiFV_dce110162b244b2ab76a0804fc830a9e,jtcxE69GiFV_dce110162b244b2ab76a0804fc830a9e,diverse_bridge,ordinary,2,2,2,2,2,,0,observed,observed
c2b_observed_support_audit_v1,pRbA3pwrgk9_0350fc96e88c4a52886d4eb50b2d52c6,pRbA3pwrgk9_0350fc96e88c4a52886d4eb50b2d52c6,diverse_bridge,stress,3,3,3,3,3,,0,observed,observed
c2b_observed_support_audit_v1,pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78,pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78,diverse_bridge,stress,2,2,2,2,2,,0,observed,observed
c2b_observed_support_audit_v1,pRbA3pwrgk9_285b697fed754f86a09602c93628cfb4,pRbA3pwrgk9_285b697fed754f86a09602c93628cfb4,diverse_bridge,ordinary,2,2,2,2,2,,0,observed,observed
c2b_observed_support_audit_v1,pRbA3pwrgk9_2a3810bc7ecc491e81ff1e8a17692ec1,pRbA3pwrgk9_2a3810bc7ecc491e81ff1e8a17692ec1,diverse_bridge,stress,2,1,1,1,1,18,1,support_limited,observed
c2b_observed_support_audit_v1,pRbA3pwrgk9_4fe4474e9bf9429ea92d202bdea4dce5,pRbA3pwrgk9_4fe4474e9bf9429ea92d202bdea4dce5,diverse_bridge,ordinary,2,2,2,2,2,,0,observed,observed
c2b_observed_support_audit_v1,pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494,pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494,common_anchor,stress,22,20,20,19,19,18;27,2,observed,observed
c2b_observed_support_audit_v1,pRbA3pwrgk9_8caa90fc5528451f9e9f45634676499b,pRbA3pwrgk9_8caa90fc5528451f9e9f45634676499b,diverse_bridge,ordinary,2,2,2,2,2,,0,observed,observed
c2b_observed_support_audit_v1,pRbA3pwrgk9_9c9bed9bf7d94ac0bcea18e3bf521930,pRbA3pwrgk9_9c9bed9bf7d94ac0bcea18e3bf521930,diverse_bridge,ordinary,2,2,2,2,2,,0,observed,observed
c2b_observed_support_audit_v1,pRbA3pwrgk9_bc9ae89832854c19a69741f97291efad,pRbA3pwrgk9_bc9ae89832854c19a69741f97291efad,diverse_bridge,stress,2,2,2,2,2,,0,observed,observed
c2b_observed_support_audit_v1,pa4otMbVnkk_270f6920ec0f48c391bca974b356bc3b,pa4otMbVnkk_270f6920ec0f48c391bca974b356bc3b,diverse_bridge,ordinary,2,2,2,2,2,,0,observed,observed
c2b_observed_support_audit_v1,pa4otMbVnkk_3ad5d0784b1442b6a728bb7dec3d50e0,pa4otMbVnkk_3ad5d0784b1442b6a728bb7dec3d50e0,diverse_bridge,ordinary,2,1,1,1,1,18,1,support_limited,observed
c2b_observed_support_audit_v1,pa4otMbVnkk_447755d931aa401097d8c0952a22b17e,pa4otMbVnkk_447755d931aa401097d8c0952a22b17e,diverse_bridge,ordinary,2,2,2,2,2,,0,observed,observed
c2b_observed_support_audit_v1,pa4otMbVnkk_48321c1bb20244f1b43b2c41b4dc9657,pa4otMbVnkk_48321c1bb20244f1b43b2c41b4dc9657,diverse_bridge,ordinary,2,2,2,2,2,,0,observed,observed
c2b_observed_support_audit_v1,pa4otMbVnkk_5d1adb544bb14217ba5ded2eb82cd8e3,pa4otMbVnkk_5d1adb544bb14217ba5ded2eb82cd8e3,diverse_bridge,stress,2,2,2,2,2,,0,observed,observed
c2b_observed_support_audit_v1,pa4otMbVnkk_63bde48e974d42e59a664bc3b5d9566a,pa4otMbVnkk_63bde48e974d42e59a664bc3b5d9566a,diverse_bridge,ordinary,2,2,2,2,2,,0,observed,observed
c2b_observed_support_audit_v1,zsNo4HB9uLZ_4c0aab63a4434cf4878e6f5b3ce9a70b,zsNo4HB9uLZ_4c0aab63a4434cf4878e6f5b3ce9a70b,diverse_bridge,stress,2,2,2,2,2,,0,observed,observed
c2b_observed_support_audit_v1,zsNo4HB9uLZ_65eefaf93e6249908e6389eb4eabf0f5,zsNo4HB9uLZ_65eefaf93e6249908e6389eb4eabf0f5,diverse_bridge,ordinary,2,2,2,2,2,,0,observed,observed
c2b_observed_support_audit_v1,zsNo4HB9uLZ_faad06c7cb2b4a6f9220e7f6f87c800b,zsNo4HB9uLZ_faad06c7cb2b4a6f9220e7f6f87c800b,diverse_bridge,ordinary,2,2,2,2,2,,0,observed,observed
