image_id,condition,cut,rule,late_h,n_valid,n_supported_modes,singleton_mass,p_onset_8_to_h,onset_conditional_median
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,P_pattern,15,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,P_pattern,18,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,P_pattern,19,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.1,D10_distribution,10,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.1,D10_distribution,12,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.1,D10_distribution,15,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.1,D10_distribution,18,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.1,D10_distribution,19,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.1,D20_distribution,10,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.1,D20_distribution,12,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.1,D20_distribution,15,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.1,D20_distribution,18,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.1,D20_distribution,19,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.1,G10_geometry,10,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.1,G10_geometry,12,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.1,G10_geometry,15,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.1,G10_geometry,18,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.1,G10_geometry,19,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.1,P_pattern,10,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.1,P_pattern,12,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.1,P_pattern,15,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.1,P_pattern,18,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.1,P_pattern,19,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.2,D10_distribution,10,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.2,D10_distribution,12,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.2,D10_distribution,15,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.2,D10_distribution,18,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.2,D10_distribution,19,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.2,D20_distribution,10,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.2,D20_distribution,12,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.2,D20_distribution,15,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.2,D20_distribution,18,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.2,D20_distribution,19,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.2,G10_geometry,10,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.2,G10_geometry,12,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.2,G10_geometry,15,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.2,G10_geometry,18,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.2,G10_geometry,19,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.2,P_pattern,10,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.2,P_pattern,12,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.2,P_pattern,15,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.2,P_pattern,18,3,1,0,0,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.2,P_pattern,19,3,1,0,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.05,D10_distribution,10,3,1,0.333333333333,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.05,D10_distribution,12,3,1,0.333333333333,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.05,D10_distribution,15,3,1,0.333333333333,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.05,D10_distribution,18,3,1,0.333333333333,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.05,D10_distribution,19,3,1,0.333333333333,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.05,D20_distribution,10,3,1,0.333333333333,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.05,D20_distribution,12,3,1,0.333333333333,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.05,D20_distribution,15,3,1,0.333333333333,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.05,D20_distribution,18,3,1,0.333333333333,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.05,D20_distribution,19,3,1,0.333333333333,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.05,G10_geometry,10,3,1,0.333333333333,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.05,G10_geometry,12,3,1,0.333333333333,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.05,G10_geometry,15,3,1,0.333333333333,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.05,G10_geometry,18,3,1,0.333333333333,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.05,G10_geometry,19,3,1,0.333333333333,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.05,P_pattern,10,3,1,0.333333333333,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.05,P_pattern,12,3,1,0.333333333333,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.05,P_pattern,15,3,1,0.333333333333,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.05,P_pattern,18,3,1,0.333333333333,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.05,P_pattern,19,3,1,0.333333333333,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.1,D10_distribution,10,3,1,0,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.1,D10_distribution,12,3,1,0,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.1,D10_distribution,15,3,1,0,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.1,D10_distribution,18,3,1,0,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.1,D10_distribution,19,3,1,0,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.1,D20_distribution,10,3,1,0,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.1,D20_distribution,12,3,1,0,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.1,D20_distribution,15,3,1,0,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.1,D20_distribution,18,3,1,0,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.1,D20_distribution,19,3,1,0,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.1,G10_geometry,10,3,1,0,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.1,G10_geometry,12,3,1,0,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.1,G10_geometry,15,3,1,0,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.1,G10_geometry,18,3,1,0,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.1,G10_geometry,19,3,1,0,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.1,P_pattern,10,3,1,0,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.1,P_pattern,12,3,1,0,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.1,P_pattern,15,3,1,0,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.1,P_pattern,18,3,1,0,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.1,P_pattern,19,3,1,0,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.2,D10_distribution,10,3,1,0,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.2,D10_distribution,12,3,1,0,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.2,D10_distribution,15,3,1,0,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.2,D10_distribution,18,3,1,0,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.2,D10_distribution,19,3,1,0,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.2,D20_distribution,10,3,1,0,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.2,D20_distribution,12,3,1,0,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.2,D20_distribution,15,3,1,0,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.2,D20_distribution,18,3,1,0,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.2,D20_distribution,19,3,1,0,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.2,G10_geometry,10,3,1,0,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.2,G10_geometry,12,3,1,0,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.2,G10_geometry,15,3,1,0,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.2,G10_geometry,18,3,1,0,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.2,G10_geometry,19,3,1,0,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.2,P_pattern,10,3,1,0,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.2,P_pattern,12,3,1,0,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.2,P_pattern,15,3,1,0,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.2,P_pattern,18,3,1,0,0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.2,P_pattern,19,3,1,0,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.05,D10_distribution,10,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.05,D10_distribution,12,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.05,D10_distribution,15,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.05,D10_distribution,18,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.05,D10_distribution,19,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.05,D20_distribution,10,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.05,D20_distribution,12,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.05,D20_distribution,15,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.05,D20_distribution,18,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.05,D20_distribution,19,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.05,G10_geometry,10,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.05,G10_geometry,12,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.05,G10_geometry,15,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.05,G10_geometry,18,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.05,G10_geometry,19,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.05,P_pattern,10,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.05,P_pattern,12,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.05,P_pattern,15,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.05,P_pattern,18,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.05,P_pattern,19,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.1,D10_distribution,10,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.1,D10_distribution,12,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.1,D10_distribution,15,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.1,D10_distribution,18,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.1,D10_distribution,19,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.1,D20_distribution,10,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.1,D20_distribution,12,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.1,D20_distribution,15,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.1,D20_distribution,18,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.1,D20_distribution,19,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.1,G10_geometry,10,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.1,G10_geometry,12,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.1,G10_geometry,15,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.1,G10_geometry,18,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.1,G10_geometry,19,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.1,P_pattern,10,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.1,P_pattern,12,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.1,P_pattern,15,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.1,P_pattern,18,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.1,P_pattern,19,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.2,D10_distribution,10,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.2,D10_distribution,12,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.2,D10_distribution,15,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.2,D10_distribution,18,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.2,D10_distribution,19,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.2,D20_distribution,10,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.2,D20_distribution,12,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.2,D20_distribution,15,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.2,D20_distribution,18,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.2,D20_distribution,19,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.2,G10_geometry,10,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.2,G10_geometry,12,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.2,G10_geometry,15,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.2,G10_geometry,18,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.2,G10_geometry,19,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.2,P_pattern,10,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.2,P_pattern,12,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.2,P_pattern,15,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.2,P_pattern,18,1,0,1,0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.2,P_pattern,19,1,0,1,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.05,D10_distribution,10,5,2,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.05,D10_distribution,12,5,2,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.05,D10_distribution,15,5,2,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.05,D10_distribution,18,5,2,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.05,D10_distribution,19,5,2,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.05,D20_distribution,10,5,2,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.05,D20_distribution,12,5,2,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.05,D20_distribution,15,5,2,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.05,D20_distribution,18,5,2,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.05,D20_distribution,19,5,2,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.05,G10_geometry,10,5,2,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.05,G10_geometry,12,5,2,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.05,G10_geometry,15,5,2,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.05,G10_geometry,18,5,2,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.05,G10_geometry,19,5,2,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.05,P_pattern,10,5,2,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.05,P_pattern,12,5,2,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.05,P_pattern,15,5,2,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.05,P_pattern,18,5,2,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.05,P_pattern,19,5,2,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.1,D10_distribution,10,5,1,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.1,D10_distribution,12,5,1,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.1,D10_distribution,15,5,1,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.1,D10_distribution,18,5,1,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.1,D10_distribution,19,5,1,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.1,D20_distribution,10,5,1,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.1,D20_distribution,12,5,1,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.1,D20_distribution,15,5,1,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.1,D20_distribution,18,5,1,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.1,D20_distribution,19,5,1,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.1,G10_geometry,10,5,1,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.1,G10_geometry,12,5,1,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.1,G10_geometry,15,5,1,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.1,G10_geometry,18,5,1,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.1,G10_geometry,19,5,1,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.1,P_pattern,10,5,1,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.1,P_pattern,12,5,1,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.1,P_pattern,15,5,1,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.1,P_pattern,18,5,1,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.1,P_pattern,19,5,1,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.2,D10_distribution,10,5,1,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.2,D10_distribution,12,5,1,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.2,D10_distribution,15,5,1,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.2,D10_distribution,18,5,1,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.2,D10_distribution,19,5,1,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.2,D20_distribution,10,5,1,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.2,D20_distribution,12,5,1,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.2,D20_distribution,15,5,1,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.2,D20_distribution,18,5,1,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.2,D20_distribution,19,5,1,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.2,G10_geometry,10,5,1,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.2,G10_geometry,12,5,1,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.2,G10_geometry,15,5,1,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.2,G10_geometry,18,5,1,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.2,G10_geometry,19,5,1,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.2,P_pattern,10,5,1,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.2,P_pattern,12,5,1,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.2,P_pattern,15,5,1,0.2,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.2,P_pattern,18,5,1,0.2,0,
